Draft,Speed,Trim,Resistance,Effective Power
6,10,-1,256.908,1321.535
6,10,0,283.709,1459.399
6,10,1,263.48,1355.341
6,10,2,266.206,1369.364
6,10,3.43,266.692,1371.864
6,11,-1,320.863,1815.571
6,11,0,325.237,1840.321
6,11,1,327.235,1851.627
6,11,2,325.301,1840.683
6,11,3.43,329.468,1864.262
6,12,-1,376.653,2325.004
6,12,0,388.78,2399.861
6,12,1,393.406,2428.417
6,12,2,395.7,2442.577
6,12,3.43,403.06,2488.009
6,13,-1,453.558,3033.033
6,13,0,475.14,3177.356
6,13,1,462.193,3090.777
6,13,2,470.321,3145.131
6,13,3.43,473.925,3169.231
6,14.3,-1,583.736,4293.915
6,14.3,0,597.954,4398.502
6,14.3,1,593.127,4362.995
6,14.3,2,594.505,4373.131
6,14.3,3.43,596.678,4389.116
10,10,-1,347.083,1785.395
10,10,0,366.719,1886.403
10,10,1,337.086,1733.97
10,10,2,334.686,1721.625
10,10,3.43,339.754,1747.695
10,11,-1,402.779,2279.085
10,11,0,417.003,2359.57
10,11,1,396.287,2242.35
10,11,2,403.731,2284.471
10,11,3.43,404.635,2289.587
10,12,-1,474.248,2927.438
10,12,0,475.229,2933.494
10,12,1,462.201,2853.074
10,12,2,470.346,2903.352
10,12,3.43,467.892,2888.204
10,13,-1,550.526,3681.477
10,13,0,554.331,3706.922
10,13,1,548.701,3669.273
10,13,2,557.796,3730.093
10,13,3.43,564.329,3773.781
10,14.3,-1,681.781,5015.126
10,14.3,0,678.696,4992.433
10,14.3,1,670.621,4933.034
10,14.3,2,687.167,5054.745
10,14.3,3.43,690.412,5078.615
12,10,-1,386.704,1989.205
12,10,0,400.626,2060.82
12,10,1,358.929,1846.331
12,10,2,375.006,1929.031
12,10,3.43,384.369,1977.194
12,11,-1,461.624,2612.053
12,11,0,457.726,2589.997
12,11,1,458.048,2591.819
12,11,2,465.234,2632.48
12,11,3.43,450.041,2546.512
12,12,-1,527.559,3256.516
12,12,0,539.473,3330.059
12,12,1,526.492,3249.93
12,12,2,519.902,3209.251
12,12,3.43,525.997,3246.874
12,13,-1,610.166,4080.302
12,13,0,620.357,4148.451
12,13,1,607.554,4062.835
12,13,2,596.634,3989.811
12,13,3.43,617.122,4126.818
12,14.3,-1,748,5502.228
12,14.3,0,744.946,5479.763
12,14.3,1,729.346,5365.011
12,14.3,2,725.395,5335.948
12,14.3,3.43,762.515,5608.999
13.4,10,-1,409.05,2104.153
13.4,10,0,427.583,2199.487
13.4,10,1,423.185,2176.864
13.4,10,2,421.163,2166.462
13.4,10,3.43,420.44,2162.743
13.4,11,-1,490.108,2773.227
13.4,11,0,492.491,2786.711
13.4,11,1,496.652,2810.256
13.4,11,2,496.395,2808.801
13.4,11,3.43,502.218,2841.75
13.4,12,-1,572.545,3534.206
13.4,12,0,576.069,3555.959
13.4,12,1,584.49,3607.94
13.4,12,2,583.668,3602.866
13.4,12,3.43,575.325,3551.366
13.4,13,-1,659.198,4408.189
13.4,13,0,669.376,4476.251
13.4,13,1,663.293,4435.573
13.4,13,2,658.764,4405.287
13.4,13,3.43,662.832,4432.49
13.4,14.3,-1,797.515,5866.457
13.4,14.3,0,791.781,5824.278
13.4,14.3,1,812.75,5978.524
13.4,14.3,2,811.897,5972.249
13.4,14.3,3.43,802.372,5902.184
